Year,Sex,NACE Rev 2 Sector,Median Annual Earnings (€),Annual Change (%)
2021,Male,Public administration and defence; compulsory social security (O),52427.0,2.5
2021,Male,Education (P),56517.0,0.4
2021,Male,Human health and social work activities (Q),40003.0,0.3
2021,Male,"Arts, entertainment, recreation and other service activities (R,S)",31596.0,2.6
2021,Male,All NACE economic sectors,44892.0,1.8
2021,Female,Industry (B to E),41300.0,2.7
2021,Female,Construction (F),30275.0,2.3
2021,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),25385.0,2.8
2021,Female,Transportation and storage (H),33383.0,4.2
2021,Female,Accommodation and food service activities (I),21556.0,-3.0
2021,Female,Information and communication (J),56012.0,6.2
2021,Female,"Financial, insurance and real estate activities (K,L)",45420.0,3.6
2021,Female,"Professional, scientific and technical activities (M)",38902.0,3.6
2021,Female,Administrative and support service activities (N),28519.0,1.5
2021,Female,Public administration and defence; compulsory social security (O),46023.0,3.4
2021,Female,Education (P),46304.0,0.7
2021,Female,Human health and social work activities (Q),38087.0,0.9
2021,Female,"Arts, entertainment, recreation and other service activities (R,S)",26041.0,-1.5
2021,Female,All NACE economic sectors,37894.0,1.2
2022,Both sexes,Industry (B to E),46600.0,1.7
2022,Both sexes,Construction (F),41003.0,-1.8
2022,Both sexes,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),30660.0,0.6
2022,Both sexes,Transportation and storage (H),41451.0,3.7
